case_id,true_scenario,evidence_abi_boundary,evidence_concurrency,evidence_drop_phase,pred_step1_only,pred_step1_step2,pred_step1_step3,pred_full,evidence_notes
tests__unit-tests__empty,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__unit-tests__enum-test,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__unit-tests__function-call,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__unit-tests__index,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__unit-tests__input-type,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__unit-tests__iterator,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__unit-tests__loop-test,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__unit-tests__method-test,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__unit-tests__negation,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__unit-tests__recursion,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__unit-tests__size-of,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__unit-tests__struct-test,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__unit-tests__vector,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__unit-tests__widen-narrow,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__unsafe-bugs__double-free,S1,0,0,1,S2,S2,S1,S1,drop_destructor_path
tests__unsafe-bugs__gmath,S4,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__unsafe-bugs__offset,S4,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__unsafe-bugs__spglib-rs,S4,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__unsafe-bugs__use-after-free(CVE-2019-15551),S4,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__unsafe-bugs__use-after-free(CVE-2019-16140),S4,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
trophy-case__bitvec-test,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
trophy-case__brotli-test,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
trophy-case__brotli-test2,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
trophy-case__brotli-test3,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
trophy-case__bytemuck-test,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
trophy-case__byte-unit-test,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
trophy-case__executable-memory-test,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
trophy-case__executable-memory-test2,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
trophy-case__gmath-test,S4,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
trophy-case__qrcode-generator-test,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
trophy-case__r1cs-test,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
trophy-case__r1cs-test2,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
trophy-case__runes-test,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
trophy-case__runes-test2,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
trophy-case__safe-transmute-test,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
trophy-case__scriptful-test,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
trophy-case__spglib-test,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
cases__panic_double_free,S4,0,1,0,S2,S4,S2,S4,concurrency_or_manual_panic_safety_path
cases__panic_safe_guard,S4,0,1,0,S2,S4,S2,S4,concurrency_or_manual_panic_safety_path
tests__panic_safety__insertion_sort.rs,S4,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__panic_safety__order_safe.rs,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__panic_safety__order_safe_if.rs,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__panic_safety__order_safe_loop.rs,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__panic_safety__order_unsafe.rs,S4,0,1,0,S2,S4,S2,S4,concurrency_or_manual_panic_safety_path
tests__panic_safety__order_unsafe_loop.rs,S4,0,1,0,S2,S4,S2,S4,concurrency_or_manual_panic_safety_path
tests__panic_safety__order_unsafe_transmute.rs,S4,0,1,0,S2,S4,S2,S4,concurrency_or_manual_panic_safety_path
tests__panic_safety__pointer_to_ref.rs,S4,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__panic_safety__vec_push_all.rs,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__send_sync__no_generic.rs,S2,0,1,0,S2,S4,S2,S4,concurrency_or_manual_panic_safety_path
tests__send_sync__okay_channel.rs,S2,0,1,0,S2,S4,S2,S4,concurrency_or_manual_panic_safety_path
tests__send_sync__okay_imm.rs,S2,0,1,0,S2,S4,S2,S4,concurrency_or_manual_panic_safety_path
tests__send_sync__okay_negative.rs,S2,0,1,0,S2,S4,S2,S4,concurrency_or_manual_panic_safety_path
tests__send_sync__okay_phantom.rs,S2,0,1,0,S2,S4,S2,S4,concurrency_or_manual_panic_safety_path
tests__send_sync__okay_ptr_like.rs,S2,0,1,0,S2,S4,S2,S4,concurrency_or_manual_panic_safety_path
tests__send_sync__okay_transitive.rs,S2,0,1,0,S2,S4,S2,S4,concurrency_or_manual_panic_safety_path
tests__send_sync__okay_where.rs,S2,0,1,0,S2,S4,S2,S4,concurrency_or_manual_panic_safety_path
tests__send_sync__sync_over_send_fp.rs,S2,0,1,0,S2,S4,S2,S4,concurrency_or_manual_panic_safety_path
tests__send_sync__wild_channel.rs,S2,0,1,0,S2,S4,S2,S4,concurrency_or_manual_panic_safety_path
tests__send_sync__wild_phantom.rs,S2,0,1,0,S2,S4,S2,S4,concurrency_or_manual_panic_safety_path
tests__send_sync__wild_send.rs,S2,0,1,0,S2,S4,S2,S4,concurrency_or_manual_panic_safety_path
tests__send_sync__wild_sync.rs,S2,0,1,0,S2,S4,S2,S4,concurrency_or_manual_panic_safety_path
tests__unsafe_destructor__copy_filter.rs,S2,0,0,1,S2,S2,S1,S1,drop_destructor_path
tests__unsafe_destructor__ffi.rs,S3,0,0,1,S2,S2,S1,S1,drop_destructor_path
tests__unsafe_destructor__fp1.rs,S1,0,0,1,S2,S2,S1,S1,drop_destructor_path
tests__unsafe_destructor__normal1.rs,S1,0,0,1,S2,S2,S1,S1,drop_destructor_path
tests__unsafe_destructor__normal2.rs,S1,0,0,1,S2,S2,S1,S1,drop_destructor_path
tests__utility__generic_param_ctxts.rs,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__utility__identify_generic_params.rs,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__utility__report_handle_macro.rs,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__utility__rudra_paths_discovery.rs,S4,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
