"样例编号","样例文件名","来源仓库/来源类别","是否为最小化重构样例","对应场景真值标签（S1/S2/S3/S4）","主导机理说明","表层后果说明","备注"
"EX070","tests__panic_safety__insertion_sort.rs","本地测试样例集","否","S4","异常打断并发状态迁移，导致共享状态停留在未闭合中间态","状态失控","default_single_thread_resource_state_path"
"EX071","tests__panic_safety__order_safe.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX072","tests__panic_safety__order_safe_if.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX073","tests__panic_safety__order_safe_loop.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX074","tests__panic_safety__order_unsafe.rs","本地测试样例集","否","S4","异常打断并发状态迁移，导致共享状态停留在未闭合中间态","数据竞态","concurrency_or_manual_panic_safety_path"
"EX075","tests__panic_safety__order_unsafe_loop.rs","本地测试样例集","否","S4","异常打断并发状态迁移，导致共享状态停留在未闭合中间态","数据竞态","concurrency_or_manual_panic_safety_path"
"EX076","tests__panic_safety__order_unsafe_transmute.rs","本地测试样例集","否","S4","异常打断并发状态迁移，导致共享状态停留在未闭合中间态","数据竞态","concurrency_or_manual_panic_safety_path"
"EX077","tests__panic_safety__pointer_to_ref.rs","本地测试样例集","否","S4","异常打断并发状态迁移，导致共享状态停留在未闭合中间态","状态失控","default_single_thread_resource_state_path"
"EX078","tests__panic_safety__vec_push_all.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX079","tests__send_sync__no_generic.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","数据竞态","concurrency_or_manual_panic_safety_path"
"EX080","tests__send_sync__okay_channel.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","数据竞态","concurrency_or_manual_panic_safety_path"
"EX081","tests__send_sync__okay_imm.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","数据竞态","concurrency_or_manual_panic_safety_path"
"EX082","tests__send_sync__okay_negative.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","数据竞态","concurrency_or_manual_panic_safety_path"
"EX083","tests__send_sync__okay_phantom.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","数据竞态","concurrency_or_manual_panic_safety_path"
"EX084","tests__send_sync__okay_ptr_like.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","数据竞态","concurrency_or_manual_panic_safety_path"
"EX085","tests__send_sync__okay_transitive.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","数据竞态","concurrency_or_manual_panic_safety_path"
"EX086","tests__send_sync__okay_where.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","数据竞态","concurrency_or_manual_panic_safety_path"
"EX087","tests__send_sync__sync_over_send_fp.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","数据竞态","concurrency_or_manual_panic_safety_path"
"EX088","tests__send_sync__wild_channel.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","数据竞态","concurrency_or_manual_panic_safety_path"
"EX089","tests__send_sync__wild_phantom.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","数据竞态","concurrency_or_manual_panic_safety_path"
"EX090","tests__send_sync__wild_send.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","数据竞态","concurrency_or_manual_panic_safety_path"
"EX091","tests__send_sync__wild_sync.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","数据竞态","concurrency_or_manual_panic_safety_path"
"EX092","tests__unsafe_destructor__copy_filter.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","drop_destructor_path"
"EX093","tests__unsafe_destructor__ffi.rs","本地测试样例集","否","S3","异常或错误处理跨越 FFI/ABI 边界，造成所有权契约与释放责任不一致","状态失控","drop_destructor_path"
"EX094","tests__unsafe_destructor__fp1.rs","本地测试样例集","否","S1","异常直接介入 Drop 路径并打断清理链，导致析构语义与资源终结次序失配","状态失控","drop_destructor_path"
"EX095","tests__unsafe_destructor__normal1.rs","本地测试样例集","否","S1","异常直接介入 Drop 路径并打断清理链，导致析构语义与资源终结次序失配","状态失控","drop_destructor_path"
"EX096","tests__unsafe_destructor__normal2.rs","本地测试样例集","否","S1","异常直接介入 Drop 路径并打断清理链，导致析构语义与资源终结次序失配","状态失控","drop_destructor_path"
"EX097","tests__utility__generic_param_ctxts.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX098","tests__utility__identify_generic_params.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX099","tests__utility__report_handle_macro.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX100","tests__utility__rudra_paths_discovery.rs","本地测试样例集","否","S4","异常打断并发状态迁移，导致共享状态停留在未闭合中间态","状态失控","default_single_thread_resource_state_path"
